Model,GoalX,GoalY,Theta_center,SuccessRate,Count
DNN_LNA_closs2,1.0,-0.5,-1.9634954084936207,,0
DNN_LNA_closs2,1.0,-0.5,-1.1780972450961724,,0
DNN_LNA_closs2,1.0,-0.5,-0.39269908169872414,,0
DNN_LNA_closs2,1.0,-0.5,0.39269908169872414,,0
DNN_LNA_closs2,1.0,-0.5,1.1780972450961724,,0
DNN_LNA_closs2,1.0,-0.5,1.9634954084936207,,0
DNN_LNA_closs2,1.0,-0.5,2.748893571891069,,0
DNN_LNA_closs2,1.0,0.0,-2.748893571891069,100.0,29
DNN_LNA_closs2,1.0,0.0,-1.9634954084936207,100.0,27
DNN_LNA_closs2,1.0,0.0,-1.1780972450961724,100.0,32
DNN_LNA_closs2,1.0,0.0,-0.39269908169872414,100.0,14
DNN_LNA_closs2,1.0,0.0,0.39269908169872414,100.0,25
DNN_LNA_closs2,1.0,0.0,1.1780972450961724,100.0,22
DNN_LNA_closs2,1.0,0.0,1.9634954084936207,95.8,24
DNN_LNA_closs2,1.0,0.0,2.748893571891069,88.9,27
DNN_LNA_closs2,1.0,0.5,-2.748893571891069,,0
DNN_LNA_closs2,1.0,0.5,-1.9634954084936207,,0
DNN_LNA_closs2,1.0,0.5,-1.1780972450961724,,0
DNN_LNA_closs2,1.0,0.5,-0.39269908169872414,,0
DNN_LNA_closs2,1.0,0.5,0.39269908169872414,,0
DNN_LNA_closs2,1.0,0.5,1.1780972450961724,,0
DNN_LNA_closs2,1.0,0.5,1.9634954084936207,,0
DNN_LNA_closs2,1.0,0.5,2.748893571891069,,0
DNN_LNA_closs2,1.5,-0.5,-2.748893571891069,100.0,29
DNN_LNA_closs2,1.5,-0.5,-1.9634954084936207,100.0,27
DNN_LNA_closs2,1.5,-0.5,-1.1780972450961724,100.0,32
DNN_LNA_closs2,1.5,-0.5,-0.39269908169872414,100.0,14
DNN_LNA_closs2,1.5,-0.5,0.39269908169872414,100.0,25
DNN_LNA_closs2,1.5,-0.5,1.1780972450961724,100.0,22
DNN_LNA_closs2,1.5,-0.5,1.9634954084936207,100.0,24
DNN_LNA_closs2,1.5,-0.5,2.748893571891069,100.0,27
DNN_LNA_closs2,1.5,0.0,-2.748893571891069,,0
DNN_LNA_closs2,1.5,0.0,-1.9634954084936207,,0
DNN_LNA_closs2,1.5,0.0,-1.1780972450961724,,0
DNN_LNA_closs2,1.5,0.0,-0.39269908169872414,,0
DNN_LNA_closs2,1.5,0.0,0.39269908169872414,,0
DNN_LNA_closs2,1.5,0.0,1.1780972450961724,,0
DNN_LNA_closs2,1.5,0.0,1.9634954084936207,,0
DNN_LNA_closs2,1.5,0.0,2.748893571891069,,0
DNN_LNA_closs2,1.5,0.5,-2.748893571891069,,0
DNN_LNA_closs2,1.5,0.5,-1.9634954084936207,,0
DNN_LNA_closs2,1.5,0.5,-1.1780972450961724,,0
DNN_LNA_closs2,1.5,0.5,-0.39269908169872414,,0
DNN_LNA_closs2,1.5,0.5,0.39269908169872414,,0
DNN_LNA_closs2,1.5,0.5,1.1780972450961724,,0
DNN_LNA_closs2,1.5,0.5,1.9634954084936207,,0
DNN_LNA_closs2,1.5,0.5,2.748893571891069,,0
DNN_LNA_mse,0.5,-0.5,-2.748893571891069,,0
DNN_LNA_mse,0.5,-0.5,-1.9634954084936207,,0
DNN_LNA_mse,0.5,-0.5,-1.1780972450961724,,0
DNN_LNA_mse,0.5,-0.5,-0.39269908169872414,,0
DNN_LNA_mse,0.5,-0.5,0.39269908169872414,,0
DNN_LNA_mse,0.5,-0.5,1.1780972450961724,,0
DNN_LNA_mse,0.5,-0.5,1.9634954084936207,,0
DNN_LNA_mse,0.5,-0.5,2.748893571891069,,0
DNN_LNA_mse,0.5,0.0,-2.748893571891069,,0
DNN_LNA_mse,0.5,0.0,-1.9634954084936207,,0
DNN_LNA_mse,0.5,0.0,-1.1780972450961724,,0
DNN_LNA_mse,0.5,0.0,-0.39269908169872414,,0
DNN_LNA_mse,0.5,0.0,0.39269908169872414,,0
DNN_LNA_mse,0.5,0.0,1.1780972450961724,,0
DNN_LNA_mse,0.5,0.0,1.9634954084936207,,0
DNN_LNA_mse,0.5,0.0,2.748893571891069,,0
DNN_LNA_mse,0.5,0.5,-2.748893571891069,82.8,29
DNN_LNA_mse,0.5,0.5,-1.9634954084936207,88.9,27
DNN_LNA_mse,0.5,0.5,-1.1780972450961724,78.1,32
DNN_LNA_mse,0.5,0.5,-0.39269908169872414,100.0,14
DNN_LNA_mse,0.5,0.5,0.39269908169872414,96.0,25
DNN_LNA_mse,0.5,0.5,1.1780972450961724,90.9,22
DNN_LNA_mse,0.5,0.5,1.9634954084936207,75.0,24
DNN_LNA_mse,0.5,0.5,2.748893571891069,66.7,27
DNN_LNA_mse,1.0,-0.5,-2.748893571891069,,0
DNN_LNA_mse,1.0,-0.5,-1.9634954084936207,,0
DNN_LNA_mse,1.0,-0.5,-1.1780972450961724,,0
DNN_LNA_mse,1.0,-0.5,-0.39269908169872414,,0
DNN_LNA_mse,1.0,-0.5,0.39269908169872414,,0
DNN_LNA_mse,1.0,-0.5,1.1780972450961724,,0
DNN_LNA_mse,1.0,-0.5,1.9634954084936207,,0
DNN_LNA_mse,1.0,-0.5,2.748893571891069,,0
DNN_LNA_mse,1.0,0.0,-2.748893571891069,72.4,29
DNN_LNA_mse,1.0,0.0,-1.9634954084936207,74.1,27
DNN_LNA_mse,1.0,0.0,-1.1780972450961724,81.2,32
DNN_LNA_mse,1.0,0.0,-0.39269908169872414,71.4,14
DNN_LNA_mse,1.0,0.0,0.39269908169872414,92.0,25
DNN_LNA_mse,1.0,0.0,1.1780972450961724,86.4,22
DNN_LNA_mse,1.0,0.0,1.9634954084936207,75.0,24
DNN_LNA_mse,1.0,0.0,2.748893571891069,59.3,27
DNN_LNA_mse,1.0,0.5,-2.748893571891069,,0
DNN_LNA_mse,1.0,0.5,-1.9634954084936207,,0
DNN_LNA_mse,1.0,0.5,-1.1780972450961724,,0
DNN_LNA_mse,1.0,0.5,-0.39269908169872414,,0
DNN_LNA_mse,1.0,0.5,0.39269908169872414,,0
DNN_LNA_mse,1.0,0.5,1.1780972450961724,,0
DNN_LNA_mse,1.0,0.5,1.9634954084936207,,0
DNN_LNA_mse,1.0,0.5,2.748893571891069,,0
DNN_LNA_mse,1.5,-0.5,-2.748893571891069,48.3,29
DNN_LNA_mse,1.5,-0.5,-1.9634954084936207,55.6,27
DNN_LNA_mse,1.5,-0.5,-1.1780972450961724,68.8,32
DNN_LNA_mse,1.5,-0.5,-0.39269908169872414,57.1,14
DNN_LNA_mse,1.5,-0.5,0.39269908169872414,80.0,25
DNN_LNA_mse,1.5,-0.5,1.1780972450961724,81.8,22
DNN_LNA_mse,1.5,-0.5,1.9634954084936207,70.8,24
DNN_LNA_mse,1.5,-0.5,2.748893571891069,51.9,27
DNN_LNA_mse,1.5,0.0,-2.748893571891069,,0
DNN_LNA_mse,1.5,0.0,-1.9634954084936207,,0
DNN_LNA_mse,1.5,0.0,-1.1780972450961724,,0
DNN_LNA_mse,1.5,0.0,-0.39269908169872414,,0
DNN_LNA_mse,1.5,0.0,0.39269908169872414,,0
DNN_LNA_mse,1.5,0.0,1.1780972450961724,,0
DNN_LNA_mse,1.5,0.0,1.9634954084936207,,0
DNN_LNA_mse,1.5,0.0,2.748893571891069,,0
DNN_LNA_mse,1.5,0.5,-2.748893571891069,,0
DNN_LNA_mse,1.5,0.5,-1.9634954084936207,,0
DNN_LNA_mse,1.5,0.5,-1.1780972450961724,,0
DNN_LNA_mse,1.5,0.5,-0.39269908169872414,,0
DNN_LNA_mse,1.5,0.5,0.39269908169872414,,0
DNN_LNA_mse,1.5,0.5,1.1780972450961724,,0
DNN_LNA_mse,1.5,0.5,1.9634954084936207,,0
DNN_LNA_mse,1.5,0.5,2.748893571891069,,0
DNN_LNA_on_wheel1,0.5,-0.5,-2.748893571891069,,0
DNN_LNA_on_wheel1,0.5,-0.5,-1.9634954084936207,,0
DNN_LNA_on_wheel1,0.5,-0.5,-1.1780972450961724,,0
DNN_LNA_on_wheel1,0.5,-0.5,-0.39269908169872414,,0
DNN_LNA_on_wheel1,0.5,-0.5,0.39269908169872414,,0
DNN_LNA_on_wheel1,0.5,-0.5,1.1780972450961724,,0
DNN_LNA_on_wheel1,0.5,-0.5,1.9634954084936207,,0
DNN_LNA_on_wheel1,0.5,-0.5,2.748893571891069,,0
DNN_LNA_on_wheel1,0.5,0.0,-2.748893571891069,,0
DNN_LNA_on_wheel1,0.5,0.0,-1.9634954084936207,,0
DNN_LNA_on_wheel1,0.5,0.0,-1.1780972450961724,,0
DNN_LNA_on_wheel1,0.5,0.0,-0.39269908169872414,,0
DNN_LNA_on_wheel1,0.5,0.0,0.39269908169872414,,0
DNN_LNA_on_wheel1,0.5,0.0,1.1780972450961724,,0
DNN_LNA_on_wheel1,0.5,0.0,1.9634954084936207,,0
DNN_LNA_on_wheel1,0.5,0.0,2.748893571891069,,0
DNN_LNA_on_wheel1,0.5,0.5,-2.748893571891069,69.0,29
DNN_LNA_on_wheel1,0.5,0.5,-1.9634954084936207,100.0,27
DNN_LNA_on_wheel1,0.5,0.5,-1.1780972450961724,100.0,32
DNN_LNA_on_wheel1,0.5,0.5,-0.39269908169872414,100.0,14
DNN_LNA_on_wheel1,0.5,0.5,0.39269908169872414,96.0,25
DNN_LNA_on_wheel1,0.5,0.5,1.1780972450961724,90.9,22
DNN_LNA_on_wheel1,0.5,0.5,1.9634954084936207,95.8,24
DNN_LNA_on_wheel1,0.5,0.5,2.748893571891069,81.5,27
DNN_LNA_on_wheel1,1.0,-0.5,-2.748893571891069,,0
DNN_LNA_on_wheel1,1.0,-0.5,-1.9634954084936207,,0
DNN_LNA_on_wheel1,1.0,-0.5,-1.1780972450961724,,0
DNN_LNA_on_wheel1,1.0,-0.5,-0.39269908169872414,,0
DNN_LNA_on_wheel1,1.0,-0.5,0.39269908169872414,,0
DNN_LNA_on_wheel1,1.0,-0.5,1.1780972450961724,,0
DNN_LNA_on_wheel1,1.0,-0.5,1.9634954084936207,,0
DNN_LNA_on_wheel1,1.0,-0.5,2.748893571891069,,0
DNN_LNA_on_wheel1,1.0,0.0,-2.748893571891069,55.2,29
DNN_LNA_on_wheel1,1.0,0.0,-1.9634954084936207,70.4,27
DNN_LNA_on_wheel1,1.0,0.0,-1.1780972450961724,93.8,32
DNN_LNA_on_wheel1,1.0,0.0,-0.39269908169872414,92.9,14
DNN_LNA_on_wheel1,1.0,0.0,0.39269908169872414,100.0,25
DNN_LNA_on_wheel1,1.0,0.0,1.1780972450961724,100.0,22
DNN_LNA_on_wheel1,1.0,0.0,1.9634954084936207,100.0,24
DNN_LNA_on_wheel1,1.0,0.0,2.748893571891069,100.0,27
DNN_LNA_on_wheel1,1.0,0.5,-2.748893571891069,,0
DNN_LNA_on_wheel1,1.0,0.5,-1.9634954084936207,,0
DNN_LNA_on_wheel1,1.0,0.5,-1.1780972450961724,,0
DNN_LNA_on_wheel1,1.0,0.5,-0.39269908169872414,,0
DNN_LNA_on_wheel1,1.0,0.5,0.39269908169872414,,0
DNN_LNA_on_wheel1,1.0,0.5,1.1780972450961724,,0
DNN_LNA_on_wheel1,1.0,0.5,1.9634954084936207,,0
DNN_LNA_on_wheel1,1.0,0.5,2.748893571891069,,0
DNN_LNA_on_wheel1,1.5,-0.5,-2.748893571891069,100.0,29
DNN_LNA_on_wheel1,1.5,-0.5,-1.9634954084936207,100.0,27
DNN_LNA_on_wheel1,1.5,-0.5,-1.1780972450961724,100.0,32
DNN_LNA_on_wheel1,1.5,-0.5,-0.39269908169872414,100.0,14
DNN_LNA_on_wheel1,1.5,-0.5,0.39269908169872414,100.0,25
DNN_LNA_on_wheel1,1.5,-0.5,1.1780972450961724,100.0,22
DNN_LNA_on_wheel1,1.5,-0.5,1.9634954084936207,100.0,24
DNN_LNA_on_wheel1,1.5,-0.5,2.748893571891069,48.1,27
DNN_LNA_on_wheel1,1.5,0.0,-2.748893571891069,,0
DNN_LNA_on_wheel1,1.5,0.0,-1.9634954084936207,,0
DNN_LNA_on_wheel1,1.5,0.0,-1.1780972450961724,,0
DNN_LNA_on_wheel1,1.5,0.0,-0.39269908169872414,,0
DNN_LNA_on_wheel1,1.5,0.0,0.39269908169872414,,0
DNN_LNA_on_wheel1,1.5,0.0,1.1780972450961724,,0
DNN_LNA_on_wheel1,1.5,0.0,1.9634954084936207,,0
DNN_LNA_on_wheel1,1.5,0.0,2.748893571891069,,0
DNN_LNA_on_wheel1,1.5,0.5,-2.748893571891069,,0
DNN_LNA_on_wheel1,1.5,0.5,-1.9634954084936207,,0
DNN_LNA_on_wheel1,1.5,0.5,-1.1780972450961724,,0
DNN_LNA_on_wheel1,1.5,0.5,-0.39269908169872414,,0
DNN_LNA_on_wheel1,1.5,0.5,0.39269908169872414,,0
DNN_LNA_on_wheel1,1.5,0.5,1.1780972450961724,,0
DNN_LNA_on_wheel1,1.5,0.5,1.9634954084936207,,0
DNN_LNA_on_wheel1,1.5,0.5,2.748893571891069,,0
DNN_LNA_sinu,0.5,-0.5,-2.748893571891069,,0
DNN_LNA_sinu,0.5,-0.5,-1.9634954084936207,,0
DNN_LNA_sinu,0.5,-0.5,-1.1780972450961724,,0
